,sqrtR0-31,R32-63,R64-95,R96-127,R128-159,sqrtR160-191,sqrtR192-223,powerR224-255,G0-31,G32-63,G64-95,sqrtG96-127,sqrtG128-159,sqrtG160-191,sqrtG192-223,powerG224-255,B0-31,B32-63,B64-95,sqrtB96-127,sqrtB128-159,sqrtB160-191,powerB192-223,powerB224-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_1757,0.39816332431768076,0.08277204123440735,0.16355315350112165,0.19982051938723133,0.1706080705388206,0.3577235252862687,0.19863549976651082,0.4892374635798554,0.20630217968584671,0.1805372538156008,0.2146733631216172,0.4223630282309379,0.35504987270896576,0.1854553051444425,0.11068225705200418,0.4665802281985702,0.3428200267817092,0.2572529942246021,0.21120604894036965,0.33508110768907423,0.13679590371050737,0.11803792576211156,0.33270400612686546,0.42142962750416607,-0.35,45,-16,22,4100
800_1760,0.2700283437398299,0.09954435640769241,0.13788748643242837,0.26607538405944386,0.19802089620733387,0.32791004982499933,0.2793639218486686,0.4471782862181639,0.1439135086439387,0.12475444044130585,0.3246277547207662,0.4542217840404014,0.3179855311274587,0.26875038742834856,0.1325760349923938,0.3119426847510828,0.23805621538466282,0.3737477591073116,0.2153259498291075,0.321406094124122,0.22867315962306117,0.10076413139448097,0.2526390743543107,0.2349952082855799,-0.35,45,-16,22,4050
800_1762,0.31764896637047724,0.13777763011601224,0.20661905914327156,0.21036925815634291,0.18022937536430678,0.2912741339077958,0.18844502939911956,0.4573499509249727,0.17723630685470382,0.21983493090640516,0.26584300946080064,0.4302070868099914,0.2811220456614855,0.17730371039867887,0.13018622864235738,0.39600681543575933,0.34549459179914205,0.3391118049379024,0.1823323076774013,0.2689916371198633,0.15999480754635215,0.12820512030022174,0.33092340401136405,0.2858589617548712,-0.35,45,-16,22,4050
800_1763,0.2198522004262871,0.09125305346058134,0.12825302417290388,0.1330120515489548,0.10062387157111213,0.3442124315692247,0.2762070842860105,0.7423850802731543,0.10101721829162996,0.14524028997883578,0.16399830417741373,0.32295953429106766,0.339888750671988,0.2839764098849547,0.2991115448812367,0.6685786170618372,0.2021572851776386,0.20552933182916522,0.12512529840950296,0.3389770906202019,0.31892435714260975,0.2732976675167088,0.4633043601744495,0.6002350865130903,-0.35,45,-16,22,4150
800_1765,0.31158102096242046,0.10026534525657438,0.22617860330369405,0.34519821922112837,0.05570623600715148,0.2735630315095076,0.22627059794938398,0.47176454340695956,0.16652378831042913,0.2404083682161316,0.3847242521127316,0.21622884712530688,0.2647978858244094,0.20732208462160592,0.19814843333420282,0.30991855313336897,0.3445756083413948,0.43523533859968344,0.057519319407226224,0.26577208996109664,0.21029616143394084,0.1943085368510535,0.3103934494913138,0.1667129553079365,0.32,45,-16,22,4400
800_1767,0.17404831891811556,0.04771747146488375,0.0888359117132873,0.1695564667522102,0.27671036182613296,0.43884564444560475,0.29941705292644494,0.56876876933056,0.0608030350842153,0.07396707536556196,0.17513084214844715,0.5620334370968544,0.45352440492031276,0.273780285234792,0.16172038543289982,0.5095696425364418,0.09853197718908323,0.21564863727519779,0.4042869617646067,0.3945007785535553,0.23035741153434125,0.1465094019470824,0.2997603633339701,0.45615939755120305,0.47,33,-48,22,4400
800_1769,0.1492738844880495,0.03003192577049163,0.05888028804981284,0.15437675161781386,0.24142804182808839,0.4477741373681983,0.29299884109019647,0.6742314562230635,0.04264252804185011,0.05792216260210224,0.15282623885224017,0.4944871980263676,0.4315545735019528,0.31340653841550126,0.21265592210397147,0.6443740631059327,0.07491936529859448,0.18118279386385722,0.2946334845355558,0.4388365807806221,0.26934025542898765,0.18271579584518619,0.3894542804240533,0.5978500237332424,0.47,33,-48,22,4400
800_1771,0.35658921020606715,0.1028573597621224,0.10628374276258551,0.11627238222665184,0.12461689295618145,0.36385843950475877,0.3057493875869959,0.6661659626693742,0.18077601444917474,0.13181208255425542,0.12590549571155735,0.3585144814498075,0.36596457696921963,0.32491587152242574,0.25216236814665965,0.6003324998998,0.2557186392284436,0.17044189600055845,0.1722115708787118,0.4148777774433403,0.28196246517236223,0.21736785881953866,0.4022233274432942,0.5260500884925388,0.47,33,-63,38,4400
800_1772,0.1872390208725328,0.19322834214789664,0.27966538938627783,0.1570928258622964,0.14667957012736174,0.25892963995770185,0.18158286543043836,0.5450535437240004,0.09902590395976005,0.3432194292250062,0.18702100609117628,0.34516198248534075,0.33947810930210925,0.2052452607263446,0.17885191306271228,0.49947488538033785,0.3380721749667871,0.27090452018966965,0.17053011687104547,0.33048898679302363,0.1653952813361082,0.18665661695040284,0.4583669449997625,0.26500345959821525,0.47,33,-48,22,4350
800_1773,0.2728884457933277,0.1380611755721392,0.19211260275185255,0.2637158817826022,0.17600168261010019,0.31104223685543503,0.19511461795892632,0.37987330643496325,0.15127490030628743,0.24587858518056735,0.2648379521615517,0.43350776134213626,0.29768056997277825,0.20468699465671708,0.10951105338627892,0.295029932760127,0.3428128424924122,0.30734496964321223,0.21457146182285186,0.30525888158132414,0.1712462495186133,0.09486159113026331,0.2284042370083153,0.1796746113013812,0.8,40,-48,22,4200
