,sqrR0-15,sqrR176-191,sqrR192-207,sqrR208-223,sqrR224-239,sqrR240-255,sqrG0-15,sqrG96-111,sqrG112-127,sqrG128-143,sqrG144-159,sqrG160-175,sqrG176-191,sqrG192-207,sqrG208-223,sqrG224-239,sqrG240-255,sqrB48-63,sqrB64-79,sqrB80-95,sqrB96-111,sqrB112-127,sqrB128-143,sqrB144-159,sqrB160-175,sqrB176-191,sqrB192-207,sqrB208-223,sqrB224-239,sqrB240-255,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,G16-31,G32-47,G48-63,G64-79,G80-95,B0-15,B16-31,B32-47,Exposure,Contrast,Highlights,Shadows,Temperature
800_1757,0.2854126340589103,0.2328028724406171,0.17415227252273727,0.09553558364639725,0.0879022154444621,0.22262794235212385,0.36536902919976194,0.30496649188131675,0.292208772020983,0.2710509302747378,0.2293290328498597,0.16213830043724853,0.09002689452346342,0.07906391349285671,0.07745617863876322,0.07941649842727781,0.20269447746566843,0.33442978581163124,0.31645999486543247,0.3332553384270687,0.25974924482608375,0.21168296705785317,0.1038275009682534,0.08906721795734804,0.08129843817229988,0.085577543017818,0.08294852120221582,0.0732956471113859,0.06450152482961535,0.16547614442127037,0.07707366115126116,0.04415510996201631,0.03861693127239104,0.07704418079173181,0.08650897270938983,0.09699390618121938,0.10282661320601194,0.09754090310425158,0.07306716743456902,0.07376894312663353,0.0728076521874702,0.06807562782981172,0.11246162598578907,0.1072204254464554,0.1074529376751618,0.18927681787843148,0.15354320890327774,0.14540971258658858,-0.35,45,-16,22,4100
800_1760,0.14417835137744686,0.19239683306106498,0.19615418942741855,0.1989164015377852,0.15097313414741761,0.13112773020619653,0.23071429854328207,0.31503879556071857,0.32721244840087743,0.25032665798912673,0.19609018921508234,0.20208258740775645,0.17717053538744507,0.11266144976428526,0.06988420988545156,0.05664375173377195,0.07912255483149586,0.3725932240030751,0.36921619099023584,0.28107891087694425,0.2496898371697834,0.2023780189503075,0.18852432828405433,0.12942175851471086,0.07928120794107835,0.062192445225185695,0.04737323438331952,0.04277381217116629,0.03936921029571765,0.038724890809611175,0.05212790941695721,0.053259201010138604,0.0462851553975538,0.03881459556910472,0.09907289086332366,0.14098454821775674,0.12509083584168712,0.09078026666760622,0.10724062953972764,0.07050845940430625,0.09068442109162,0.04241177747795222,0.08234266296335363,0.1768918738586339,0.14773588086213232,0.15004355165718708,0.08801266372747574,0.2349220485343059,-0.35,45,-16,22,4050
800_1762,0.16199520714327872,0.1867081501547254,0.14749965252333735,0.11728333901594792,0.11028025926411757,0.17773554965594637,0.26093390083467793,0.34901077919076123,0.25153451761179263,0.21952047693869342,0.17561424988168506,0.13846827906506107,0.11073906904926988,0.09939428335599745,0.08407871647609663,0.09980082711589622,0.12096588666800544,0.3836487704554135,0.333245137496438,0.26698311933974667,0.2125540937926615,0.16485526395115407,0.11289612387182647,0.1133702062118239,0.08497716812164163,0.09599705083605739,0.09338149266262298,0.057204916622586977,0.044385095742884385,0.0686102109772284,0.07465841869883877,0.059445121829030875,0.07833250828698136,0.08176734177332262,0.12485171736994895,0.11233533663983138,0.09803392151651154,0.1176734287436313,0.06255594662067547,0.04998068774953707,0.10914980624990228,0.08714168563575951,0.13269324527064566,0.15401349082910332,0.11182951863169732,0.1758005225097822,0.16969406928935984,0.19192542586595185,-0.35,45,-16,22,4050
800_1763,0.11212718791566637,0.24965207683337967,0.19415753799499377,0.19645153053489264,0.2197035349699473,0.5054510999882177,0.17178059754323452,0.2224078137947983,0.23417434776790055,0.23956647131190753,0.24110634304498457,0.19394930571463403,0.20742774207892062,0.22541523547236678,0.19661049793481916,0.1620839653407909,0.41657584478251963,0.29425394631246243,0.23873851267253848,0.2610157485218222,0.24178911314581014,0.23757839280856166,0.21763052756042342,0.23313021908924353,0.21018153454985208,0.17468639788015225,0.16837614681079552,0.13313337298463915,0.11471077806741971,0.3415328264567051,0.03576248376240515,0.05281550921251602,0.038437544248065315,0.0679301528530492,0.060322871319854685,0.05789978395383205,0.07511226759512274,0.0488422944450965,0.05178157712601563,0.05615603857957848,0.07150864459931924,0.062355777456812235,0.08288451252202356,0.08226129607001208,0.08173700810740166,0.0807653398614759,0.12139194531616268,0.11894394690870767,-0.35,45,-16,22,4150
800_1765,0.17057916779473362,0.20092391807626214,0.17689408160973877,0.1410916985078103,0.1519726073121442,0.1625978920809635,0.26525710709948147,0.16213184909733008,0.1430670396612019,0.1707208706917204,0.2024161669613814,0.16117488672163097,0.13040361445189222,0.15450892521143172,0.1240556071397308,0.07666695611211631,0.05785919227181538,0.4194813524712204,0.1948546531051605,0.1398248317377632,0.16411718707976253,0.20904629321591778,0.1690683665209125,0.1250614367253171,0.1375839238472372,0.13720958928586172,0.08111098741405981,0.051992230867414516,0.02774711828874934,0.0015999747419314428,0.06798548013844043,0.056942319130424635,0.04332302612614974,0.09615213318890617,0.13002647011478788,0.16689252677565353,0.1783056924454748,0.033832387282629835,0.02187384872452165,0.03446631135355534,0.09616245544364337,0.08078961780461771,0.15961875041151388,0.1983159475367412,0.1864083045759904,0.12866913490586873,0.21590647343552605,0.2592707335285992,0.32,45,-16,22,4400
800_1767,0.07875048045634644,0.285621308359743,0.24101579284455765,0.1776568579668874,0.13660864133896522,0.2932387743882962,0.1650129759027454,0.3854030150415181,0.4090795771140514,0.35247965343561244,0.28538128840594007,0.22145470947539908,0.1609765704517606,0.12483695343148815,0.10280670271198339,0.08995317781740657,0.24358237883986666,0.38438337601004297,0.46983817819904594,0.4284145749985734,0.3107815509640815,0.2429931930316594,0.18573472540647154,0.13626132549988088,0.11325433254608899,0.09294332153754586,0.06841555630190359,0.05825342813392769,0.06398199844262271,0.19800043238814374,0.024091179146116658,0.01893819947727001,0.028779271987613736,0.03143938584841447,0.05739652586487282,0.07145100512886689,0.0981054616233433,0.1418531865983992,0.13485717522773372,0.1110059678597468,0.033573752867935264,0.036813977444965035,0.03715309792059692,0.07190906550508361,0.10322177664336353,0.052093474375154006,0.04643850281392922,0.06789805752231974,0.47,33,-48,22,4400
800_1769,0.06744691599845881,0.2915991342625577,0.2236425185373566,0.18929433373047994,0.14623070046145967,0.4304263972041681,0.15718151192264274,0.3453951270662311,0.3538640914403017,0.3173683387334818,0.2924323639407963,0.23791501947745328,0.20401005325382887,0.1651442041373645,0.13397736019838152,0.12317615714505564,0.3965268797507757,0.3699913575940771,0.3989757007699815,0.36803787132665844,0.3414701980025124,0.2756368054294499,0.20959176631755919,0.1691610613777236,0.14092616247664655,0.1162965123335415,0.11141595945334798,0.10291588482259782,0.08652311630801089,0.34679407636159987,0.017733606112448386,0.01464769236223616,0.015384233408255468,0.025729940308190046,0.03315034774162279,0.06823428776662521,0.08614246385118865,0.11068534486460396,0.13074269696348442,0.115471622993161,0.017936500351562232,0.032614664009782524,0.025307498592319715,0.055351453230331735,0.09747478562190842,0.03876014911611771,0.03615921618247677,0.044289189169549006,0.47,33,-48,22,4400
800_1771,0.2516905197623164,0.2445872929618871,0.21936016800482006,0.21298780411732537,0.18973602186010155,0.4011712196271237,0.3203766072279733,0.2619696068312986,0.2447540776082785,0.2547503133371612,0.26274007964312956,0.2465903052066997,0.21157397038682277,0.1854314815670825,0.1708830756779859,0.14656744500296992,0.3292499094431472,0.30595930588683434,0.31101794373813435,0.27473516256863534,0.30522596677717173,0.28099942957462865,0.21963154575282706,0.1768185959572675,0.16141610869873715,0.14558030739199704,0.12850503153000398,0.09828729197319595,0.08926247655449518,0.26193697953801864,0.06380774709716176,0.047795865548860984,0.05506149421326142,0.051282117626799684,0.05500162513578582,0.059946232889004775,0.05632614933764706,0.06001903919241763,0.06459785376376383,0.07257002012041419,0.07813484399026767,0.07374447250140327,0.05806761005285215,0.06135140830787913,0.06455408740367823,0.14870581496926225,0.1070128242591814,0.07683079914180499,0.47,33,-63,38,4400
800_1772,0.14009427127868834,0.17312884840408155,0.1425586830774741,0.11246936870608361,0.1123982485797956,0.27500029052439806,0.18246026654731087,0.24418372687773401,0.24394897351969094,0.26362547746899995,0.21388547011093723,0.16363208990295483,0.12389574732256345,0.11372692166628269,0.13803693018356786,0.14629459292819602,0.20207856912267616,0.30726606408536167,0.2803799980449405,0.30317845168706276,0.2715474247501431,0.18837453783100494,0.12726492401664927,0.10563729551293365,0.11057215519716619,0.15038115289630946,0.16711129765551042,0.12734179156877443,0.05854824447545701,0.03878029430248011,0.01543204609219805,0.05173505816466677,0.14149328398322986,0.1458684335871085,0.13379695579916934,0.07728098707840884,0.07981183878388755,0.08641865986194272,0.06026091026541903,0.03707096029890167,0.06573415509124432,0.18905941743066032,0.15416001179434588,0.11107192018601418,0.0759490859051621,0.10268243195184314,0.23538974301494398,0.17649208605116007,0.47,33,-48,22,4350
800_1773,0.12146898163461797,0.21428610882486548,0.15852725852442492,0.1137489448126351,0.07856816191653195,0.12103970472359556,0.24772272325086966,0.33700457027673636,0.2726846140809247,0.21614474887549745,0.20468309474127622,0.1644692765414501,0.1218467186900449,0.08376203097988114,0.07054497132962678,0.057321964847248004,0.0655028031391358,0.4337152801256391,0.3723983598008752,0.27548307287466817,0.2369584820859894,0.19244132236030984,0.14525823515160885,0.09069356699805713,0.07468164570763862,0.05849250606841864,0.04127283963770434,0.03190775186748075,0.024140852086336956,0.02143383192142093,0.059713390348146815,0.0540548404052798,0.08400633516685939,0.09577499928982887,0.09633760346202368,0.11398180508544185,0.14973407669716035,0.10363802500639152,0.07236365760370865,0.05082873667273046,0.08990835269146047,0.13018983699976153,0.11568874818080582,0.09453297054782712,0.1703049816137246,0.1872002004334136,0.1556126420589986,0.11923602542875067,0.8,40,-48,22,4200
