,rgb0_7,rgb8_15,rgb16_23,rgb24_31,rgb32_39,rgb40_47,rgb48_55,rgb56_63,rgb64_71,rgb72_79,rgb80_87,rgb88_95,rgb96_103,rgb104_111,rgb112_119,rgb120_127,rgb128_135,rgb136_143,rgb144_151,rgb152_159,rgb160_167,rgb168_175,rgb176_183,rgb184_191,rgb192_199,rgb200_207,rgb208_215,rgb216_223,rgb224_231,rgb232_239,rgb240_247,rgb248_255
test_800_0236,0.0020716077107187834,0.01735146247907197,0.03721046213092297,0.04624251760398612,0.07070199479912508,0.09654162626765546,0.09459661068903336,0.07328803615993186,0.05508965332418442,0.0467902577293594,0.05518792118928229,0.0675627081104185,0.06084344327075973,0.048617406921889324,0.039611308478738574,0.0343007423875711,0.031829842337605885,0.025424429093982397,0.019658472649823535,0.017177855917399062,0.015622250839488334,0.012891340074196917,0.010676982461966208,0.007765556105831133,0.005751092397337332,0.003311296741646791,0.0017737212020103239,0.0009223416312884002,0.0005278663442526456,0.0003473507534089866,0.0002380724832581286,7.376971385498724e-05
test_800_0238,0.002571700308225279,0.014278843792961224,0.028816817468844406,0.046655820683662474,0.06836652273131154,0.091119469721276,0.09841964353153017,0.0825111496866769,0.06669043629610855,0.05178683459442843,0.053733143895644264,0.06511831561061834,0.06179366875284481,0.05100451778940134,0.0409772868556243,0.03414992736435787,0.031154766877794855,0.024486727947645084,0.01863775304938673,0.01561214879285222,0.01418674175469302,0.011305649064478914,0.008703257252168445,0.006063898004892584,0.004953361025236068,0.003369651888427602,0.0015996742241352923,0.0008655004152023746,0.00046494187937484683,0.0002863531094154598,0.0002228781242850118,9.259750649558847e-05
test_800_0243,0.010025744529094886,0.05049121270583126,0.12261828423096395,0.1487337538720842,0.13044522334496547,0.08111935190994193,0.05520867580280717,0.05385505660559342,0.05232973014157839,0.0505319512045273,0.03701172431971662,0.02985127254958481,0.026591476977573348,0.02371275152444563,0.020966398666067407,0.018764014869331817,0.016862958332883742,0.014443449348503322,0.01250647136556989,0.010462114407357241,0.008449825253861403,0.006242211514725646,0.004731308681330031,0.0037720821931141366,0.00397918791216075,0.002708752325122287,0.001596591310720457,0.0009328290421013666,0.0006304007413085514,0.00027374619562979405,0.00012342664064394135,2.8021480859842167e-05
test_800_0248,0.02418116168141217,0.08598314329007198,0.13894415500536317,0.15065523470990555,0.10754305784052044,0.083854033738964,0.051863191753470865,0.03486816361197659,0.03152590010611828,0.03148039960723683,0.030087996258223948,0.029416003711827753,0.029656718692298596,0.03221699570528141,0.02766058730821801,0.02419294281481886,0.021180633622385828,0.016109296107007044,0.012168094092279086,0.008424831634391132,0.005498513705421898,0.003680503149085949,0.002663306878266099,0.0020151793848222446,0.001771629225050257,0.002502747646580972,0.005230850758583877,0.0037770368753879792,0.0005177092455912687,0.0002422564371782622,6.050217576614252e-05,2.722322649350089e-05
test_800_0249,0.14932259033431775,0.06302523761004625,0.046771760248870385,0.055797594843078606,0.10984574642728871,0.10300104554806383,0.08608490695877417,0.07396594679904403,0.04855470266511258,0.032041324692661056,0.023807798846065507,0.023026390399455293,0.02224861538651256,0.02250391915367861,0.021042535617008785,0.020857560812118668,0.021041627258591915,0.017822487607238594,0.013004114147952097,0.010902723291564994,0.00922025082143127,0.007025629360258031,0.0053728024057294625,0.0037189845147461253,0.0029144266915120125,0.0024237755163384503,0.0015702489166311948,0.0009238280359705529,0.0006277857701084679,0.00047377772942986583,0.000552171813407106,0.000507689776993054
test_800_0250,0.012567992003803435,0.07031635536214434,0.15889685320421504,0.19074103659440245,0.10303093879778268,0.07967913587698647,0.07624518322304945,0.049705097311060896,0.028803164566578707,0.02227446231237444,0.019426731149470872,0.019842676726359944,0.02153701290793826,0.024267373152977025,0.024411967297335326,0.019049569724380936,0.015679257211650154,0.014718048850524723,0.011844085397582423,0.008448669161330842,0.006091231335436614,0.004231326187874065,0.003269842566622309,0.0025137305256213226,0.0021700132058798207,0.002215954120963393,0.0045551422004823,0.002454054130234154,0.00043873711534874685,0.00031960453267546897,0.0002460275009089089,8.725746004489162e-06
test_800_0254,0.0035447723807952992,0.027703995830139397,0.06004973069650281,0.0983105304174551,0.11842312722368893,0.1309228822421765,0.10528375024966094,0.07244276736401434,0.04614488283717879,0.04204180034215935,0.044228163999542845,0.04736632212173148,0.039346177925062745,0.03041316104545117,0.022453023556321193,0.016506331313217618,0.0126298704802012,0.010608745476650343,0.009537157804868758,0.00995882879238538,0.010295829765044562,0.008865110206447297,0.007232514871203585,0.005553317996573121,0.006578028868841633,0.0066533125133914055,0.00460901060720402,0.0008331573503592365,0.0004026505127875945,0.00037776699736785256,0.0004819804811943383,0.0002012977303811648
test_800_0257,0.002786761044922673,0.029074240738983154,0.07108234924168037,0.12235053870608803,0.14851183915824132,0.11590452459383166,0.0985926720469378,0.05466701892622566,0.038394383460257614,0.04224810780683962,0.04590832428461545,0.04607609533161028,0.035406875205206426,0.02686913186699695,0.019112246455145043,0.014550800797769908,0.011022544024554085,0.009168281709581188,0.009278523390174183,0.009854532730520997,0.009253805030830235,0.0074520072959348045,0.0066751956934342094,0.0059028708309927045,0.00627898626760261,0.0066274655875295276,0.004943699394802076,0.0009590338061274666,0.00034867200201534455,0.00029180325991668647,0.0002524961138775365,0.00015417319675439684
test_800_0260,0.003915382614878712,0.06211054821026967,0.1947069294424617,0.21812886864344544,0.086961307674979,0.03284423095513722,0.032979989249440504,0.04321451858435259,0.03581445287425523,0.02899714037759964,0.024295807524026356,0.0315569494483677,0.03871357510274359,0.03944860221806812,0.03419206968969816,0.020261099644385938,0.012669618042442468,0.00968579827308403,0.008833537869957867,0.007357152656403354,0.007172177851513237,0.006894165123925412,0.006447555568963782,0.0050913764525752124,0.0028147549997698824,0.0015749833908039776,0.0011047014649784338,0.0007465880406301563,0.0005305088414653616,0.00048173274708064617,0.00040039337975173296,5.348304254486575e-05
test_800_0261,0.0034527253945523598,0.07889472709499931,0.21011684462050326,0.17404827159762518,0.0789926646479456,0.034849858813576,0.03927584896278681,0.04593081303693616,0.03567731827932032,0.029238543508386294,0.025953836894942458,0.035223551961074254,0.04156656373405996,0.04190452811716128,0.03388710899574316,0.01939777378418153,0.012354803035965048,0.010076777756515462,0.008134679935232394,0.007055027141749496,0.007551816617740096,0.0070538710492189325,0.006772445096064683,0.004879839045494773,0.0026235593160248297,0.0016262093003129817,0.0011528719870852354,0.000754377902205142,0.0005880657338798311,0.0005082127712330706,0.0004162208370153963,4.024303046865349e-05
test_800_0262,0.003770953626596206,0.08524764823253271,0.21588866410535285,0.16474841554766084,0.07661697707567605,0.03597113093815918,0.043467868004621726,0.04680459878194091,0.03619522020700002,0.02972988283387567,0.027301593051465498,0.03500942710880636,0.03942927895720013,0.04108538150723196,0.029938227223490745,0.016839974112335638,0.011270333190271471,0.01001134842448811,0.008152736999519286,0.007432849191142614,0.008071865574405125,0.007375154668664982,0.007016050307861936,0.004876701080054674,0.0026157969804624765,0.001650624873517972,0.001153092195186295,0.0007739488971868195,0.0006253359549841792,0.0005066988405382854,0.0003907592753303727,3.146223243889941e-05
test_800_0269,0.07053392096599129,0.08785967414926454,0.09844961935928691,0.09320310629951517,0.08978660513758713,0.0839397772683141,0.0681382770345632,0.03585486106079968,0.03168321126831278,0.032885685130161706,0.030056644129835577,0.03195580137141201,0.030753878029815735,0.028734817477212314,0.026342256459199073,0.021225501022976732,0.016759075161208847,0.015143325745696198,0.01679271194864571,0.02100606365027078,0.022441022214813443,0.014038541702679867,0.008332949804223987,0.0066335213103086675,0.005439773194464232,0.004063912979043456,0.002889075233877519,0.002326939003897463,0.0016094734846324474,0.0006296575389674751,0.0002580838944419255,0.00023223696858004752
test_800_0272,0.04829628845851907,0.07875357370222007,0.09472199167657419,0.08125852342981164,0.06430962888548937,0.051930520380369855,0.050898845426905336,0.055270691909268095,0.05396950976611918,0.04634912585091163,0.03576655761227475,0.03208652240540356,0.03260024037916312,0.03575392317247646,0.03495159495626557,0.030877717560649165,0.02668044105040145,0.02464714954926705,0.022083459310717816,0.020750429570953143,0.02021053435918011,0.018626274702118997,0.015297609046501124,0.008132367750171267,0.004358055950033901,0.0033655229865327332,0.0028327294860188775,0.0023366281603440886,0.0015305288804025581,0.0008451311658543557,0.00018571800723119362,0.00032216445185028755
test_800_0291,0.05195091715573051,0.10421031833503297,0.09066162955316033,0.08492782349175618,0.05934118360533071,0.03503502630055455,0.025712020873966315,0.025938532431918813,0.03154767318211056,0.030376111032447885,0.03586900943129276,0.04570435653100893,0.03959644443191705,0.03545834884882912,0.03898077010736686,0.03599383989858096,0.029067992334115587,0.026633591776901007,0.029994683075399913,0.029909545118327722,0.029885817695438542,0.022767921140836513,0.019978187286549536,0.016358819411520276,0.008776201185644457,0.005239631556613631,0.004262375530123477,0.002346867837043363,0.0006523664993892529,0.0005426478130362755,0.0005370600324718866,0.0017422864955840569
test_800_0292,0.05238948911500346,0.10320790353299675,0.08975010564483649,0.08522526958426252,0.05971506943491738,0.03543786949543057,0.025434421036567977,0.025971040652837746,0.0326415293981118,0.03137326836607131,0.03614349882926363,0.04601685935242523,0.03967472841184376,0.035866284356042145,0.039791466231418014,0.037902823926667176,0.03142388870330239,0.027710409391082762,0.028428040066423573,0.0252198832941106,0.02734117545763097,0.023560367518512343,0.018939493199863735,0.016234649568535257,0.009226251492185145,0.005692104152265974,0.004323565856205431,0.0018723193792597882,0.0006320247760538665,0.0005520617093565761,0.0005674762764307526,0.001734661790084866
test_800_0295,0.09911830878416722,0.14756051263565095,0.10986495958410618,0.07514620716869856,0.06298001237129111,0.04537346633315416,0.03288268479478477,0.026677110402872923,0.025022356627460083,0.02617423767809055,0.033919782372737885,0.04137743250126234,0.033782179835588226,0.023783218116784723,0.02135382729386925,0.021422724903488295,0.015922064169081065,0.010611855916077812,0.007434445699875296,0.003563517595398003,0.002518079635617251,0.0025253189769395873,0.0017462227153904983,0.0015297031000235843,0.0018965697963889835,0.0022712538803420007,0.0019201320632023676,0.00436364373059829,0.003557627028694657,0.0027351772972494465,0.003924053308857937,0.107041313682256
test_800_0298,0.1787362268090591,0.17925189912971556,0.09693037614406366,0.0575763808314133,0.04486605181628743,0.040170196639228,0.03483447177251446,0.02680262902047693,0.020570574604412663,0.018778878916153343,0.017214630670276024,0.015273578837472988,0.013145267540731342,0.01219132604694088,0.011336423146602001,0.011292794416579556,0.011928645308389335,0.013117328637909396,0.015740007121529988,0.01825629756632613,0.015935964805460456,0.008786798700507954,0.006236376000047565,0.0037674027709666187,0.004187229515636867,0.006363105762207401,0.006803274230213036,0.006954915033805247,0.004950333163846498,0.00507992563132011,0.0042515302811462884,0.08866915912875986
